source,target,value
ITA,AUS,4322196.02
ITA,BRA,4414488.096
ITA,CAN,4643737.427
ITA,CHN,14515649.58
ITA,DEU,65781588.36
ITA,FRA,55005638.53
ITA,GBR,27094080.6
ITA,IDN,1412312.593
ITA,IND,4573203.447
ITA,JPN,7324781.392
ITA,KOR,5162711.888
ITA,MEX,5032409.45
ITA,RUS,8640443.953
ITA,SAU,3508788.998
ITA,TUR,10298493.81
ITA,USA,44714912.68
ITA,ZAF,2348074.978
JPN,ARG,738937.939
JPN,AUS,17089184.6
JPN,BRA,4000189.556
JPN,CAN,9326489.855
JPN,CHN,144033051.5
JPN,DEU,20888548.59
JPN,EUN,82508650.02
JPN,FRA,7323323.712
JPN,GBR,13900287.64
JPN,IDN,15792211.18
JPN,IND,11010370.83
JPN,ITA,4698120.268
JPN,KOR,52480442.26
JPN,MEX,11623375.43
JPN,RUS,7297556.677
JPN,SAU,4114479.156
JPN,TUR,3190983.667
JPN,USA,140713379.5
JPN,ZAF,2519432.589
KOR,ARG,536361.276
KOR,AUS,9610270.283
KOR,BRA,4883693.471
KOR,CAN,5743190.6
KOR,CHN,162124667.6
KOR,DEU,9371512.368
KOR,EUN,59411114.5
KOR,FRA,3635900.722
KOR,GBR,6358770.495
KOR,IDN,8833194.908
KOR,IND,15606220.83
KOR,ITA,4493002.395
KOR,JPN,30527115.78
KOR,MEX,11458232.62
KOR,RUS,7320870.993
KOR,SAU,3951951.358
KOR,TUR,5980358.068
KOR,USA,73043815.67
KOR,ZAF,1021976.346
MEX,ARG,1255341.372
MEX,AUS,1000088.293
MEX,BRA,4368804.037
MEX,CAN,14034440.77
MEX,CHN,7380208.899
MEX,DEU,7070778.404
MEX,EUN,30656398.93
MEX,FRA,1763546.765
MEX,GBR,2211223.705
MEX,IDN,137145.645
MEX,IND,4042637.57
MEX,ITA,1708799.647
MEX,JPN,3851931.472
MEX,KOR,3726320.803
MEX,RUS,316858.728
MEX,SAU,178560.335
MEX,TUR,224932.68
MEX,USA,356892799
MEX,ZAF,227692.896
RUS,ARG,394698.452
RUS,AUS,141046.592
RUS,BRA,2584083.054
RUS,CAN,580644.397
RUS,CHN,56019903.78
RUS,DEU,34184357.76
RUS,EUN,180389712.4
RUS,FRA,7781229.618
RUS,GBR,9769720.567
RUS,IDN,868087.426
RUS,IND,7751475.129
RUS,ITA,16400963.51
RUS,JPN,12440341.53
RUS,KOR,17824997.47
RUS,MEX,2003659.215
RUS,SAU,762729.123
RUS,TUR,21312068.62
RUS,USA,12569089.29
RUS,ZAF,285742.175
SAU,ARG,72010.003
SAU,AUS,357854.458
SAU,BRA,538769.871
SAU,CAN,134957.361
SAU,CHN,9420095.027
SAU,DEU,92381.923
SAU,EUN,36151547.01
SAU,FRA,78115.843
SAU,GBR,234846.736
SAU,IDN,574518.076
SAU,IND,3456929.428
SAU,ITA,656102.792
SAU,JPN,949524.14
SAU,KOR,1159559.278
SAU,MEX,36091.346
SAU,RUS,25938.81
SAU,TUR,2155324.276
SAU,USA,1144674.199
SAU,ZAF,626842.161
TUR,ARG,193146.128
TUR,AUS,704085.464
TUR,BRA,507741.488
TUR,CAN,1338675.082
TUR,CHN,3078644.213
TUR,DEU,17353443.49
TUR,EUN,89667315.81
TUR,FRA,7662143.088
TUR,GBR,11473927.05
TUR,IDN,286302.754
TUR,IND,1182204.996
TUR,ITA,10047452.62
TUR,JPN,493789.677
TUR,KOR,982485.4
TUR,MEX,652286.855
TUR,RUS,3652603.351
TUR,SAU,2766393.997
TUR,USA,9074826.061
TUR,ZAF,554241.655
USA,ARG,8452724.95
USA,AUS,22825294
USA,BRA,34161605.49
USA,CAN,247741950.5
USA,CHN,109579613.2
USA,DEU,49331190.61
USA,EUN,316760344.6
USA,FRA,31841647.17
USA,GBR,57234876.87
USA,IDN,7936695.924
USA,IND,27160883.3
USA,ITA,20307526.78
USA,JPN,68713429.8
USA,KOR,53469701.96
USA,MEX,203972907.2
USA,RUS,6214292.459
USA,SAU,12848976.01
USA,TUR,9830383.456
USA,ZAF,4790624.874
ZAF,ARG,181575.554
ZAF,AUS,844288.741
ZAF,BRA,459791.599
ZAF,CAN,326395.787
ZAF,CHN,8527284.453
ZAF,DEU,6651165.194
ZAF,EUN,27530618.34
ZAF,FRA,747236.999
ZAF,GBR,4755218.16
ZAF,IDN,781388.581
ZAF,IND,4487262.152
ZAF,ITA,940546.893
ZAF,JPN,4392579.936
ZAF,KOR,1892369.337
ZAF,MEX,282540.594
ZAF,RUS,402437.684
ZAF,SAU,417826.299
ZAF,TUR,506209.064
ZAF,USA,6239215.197
