source,target,value,year
GBR_E,DEU,34788506.15,2000
GBR_E,FRA,28475980.4,2000
GBR_E,IDN,630570.583,2000
GBR_E,IND,3798594.205,2000
GBR_E,ITA,13212226.16,2000
GBR_E,JPN,5686266.373,2000
GBR_E,KOR,2585366.289,2000
GBR_E,MEX,1021742.956,2000
GBR_E,RUS,1012813.802,2000
GBR_E,SAU,2615224.241,2000
GBR_E,TUR,2942043.14,2000
GBR_E,USA,45460636.18,2000
GBR_E,ZAF,2291405.266,2000
IDN_E,ARG,76986.576,2000
IDN_E,AUS,1519365.939,2000
IDN_E,BRA,241034.338,2000
IDN_E,CAN,403912.922,2000
IDN_E,CHN,2767707.562,2000
IDN_E,DEU,1443127.393,2000
IDN_E,EUN,10623162.35,2000
IDN_E,FRA,729598.591,2000
IDN_E,GBR,1507940.699,2000
IDN_E,IND,1151282.289,2000
IDN_E,ITA,757788.222,2000
IDN_E,JPN,14415189.67,2000
IDN_E,KOR,4317875.235,2000
IDN_E,MEX,243994.267,2000
IDN_E,RUS,58256.707,2000
IDN_E,SAU,505441.6,2000
IDN_E,TUR,198577.079,2000
IDN_E,USA,8488730.739,2000
IDN_E,ZAF,176623.12,2000
IND_E,ARG,88155.377,2000
IND_E,AUS,397404.568,2000
IND_E,BRA,192288.207,2000
IND_E,CAN,643398.466,2000
IND_E,CHN,734887.748,2000
IND_E,DEU,1821696.472,2000
IND_E,EUN,11818706.96,2000
IND_E,FRA,975662.222,2000
IND_E,GBR,2207959.366,2000
IND_E,IDN,390370.824,2000
IND_E,ITA,1266763.017,2000
IND_E,JPN,1827671.111,2000
IND_E,KOR,439127.531,2000
IND_E,MEX,182898.064,2000
IND_E,RUS,855661.13,2000
IND_E,SAU,809170.44,2000
IND_E,TUR,327103.853,2000
IND_E,USA,9304913.801,2000
IND_E,ZAF,307796.236,2000
ITA_E,ARG,997862.678,2000
ITA_E,AUS,1784531.331,2000
ITA_E,BRA,2245070.082,2000
ITA_E,CAN,2151893.818,2000
ITA_E,CHN,2154579.035,2000
ITA_E,DEU,36216997.15,2000
ITA_E,FRA,30329301.13,2000
ITA_E,GBR,16516365.32,2000
ITA_E,IDN,395900.765,2000
ITA_E,IND,913653.964,2000
ITA_E,JPN,3966826.229,2000
ITA_E,KOR,1660129.937,2000
ITA_E,MEX,1671888.943,2000
ITA_E,RUS,2315962.271,2000
ITA_E,SAU,1428495.634,2000
ITA_E,TUR,4174689.868,2000
ITA_E,USA,24491887.51,2000
ITA_E,ZAF,901636.293,2000
JPN_E,ARG,728133.686,2000
JPN_E,AUS,8571791.168,2000
JPN_E,BRA,2522234.528,2000
JPN_E,CAN,7477934.902,2000
JPN_E,CHN,30382095.71,2000
JPN_E,DEU,19996909.54,2000
JPN_E,EUN,84726052.19,2000
JPN_E,FRA,7491372.9,2000
JPN_E,GBR,14831133.13,2000
JPN_E,IDN,7587476.899,2000
JPN_E,IND,2486092.017,2000
JPN_E,ITA,5792676.103,2000
JPN_E,KOR,30700381.68,2000
JPN_E,MEX,5210425.719,2000
JPN_E,RUS,569742.903,2000
JPN_E,SAU,3090844.067,2000
JPN_E,TUR,1209068.278,2000
JPN_E,USA,142480029.3,2000
JPN_E,ZAF,1863299.562,2000
KOR_E,ARG,447517.39,2000
KOR_E,AUS,2606244.477,2000
KOR_E,BRA,1724129.845,2000
KOR_E,CAN,2426732.185,2000
KOR_E,CHN,18454539.58,2000
KOR_E,DEU,5153832.577,2000
KOR_E,EUN,24798977.17,2000
KOR_E,FRA,1749473.177,2000
KOR_E,GBR,5379832.988,2000
KOR_E,IDN,3504035.671,2000
KOR_E,IND,1326165.554,2000
KOR_E,ITA,1909284.965,2000
KOR_E,JPN,20466015.82,2000
KOR_E,MEX,2391359.858,2000
KOR_E,RUS,788126.805,2000
KOR_E,SAU,1262513.87,2000
KOR_E,TUR,1206539.356,2000
KOR_E,USA,37806064.73,2000
KOR_E,ZAF,494872.687,2000
MEX_E,ARG,336876.362,2000
MEX_E,AUS,160035.171,2000
MEX_E,BRA,688834.198,2000
MEX_E,CAN,3580532.138,2000
MEX_E,CHN,310157.697,2000
MEX_E,DEU,1541930.664,2000
MEX_E,EUN,6811507.406,2000
MEX_E,FRA,325852.826,2000
MEX_E,GBR,855327.541,2000
MEX_E,IDN,23332.931,2000
MEX_E,IND,96149.69,2000
MEX_E,ITA,255318.75,2000
MEX_E,JPN,1114591.633,2000
MEX_E,KOR,293972.374,2000
MEX_E,RUS,32965.701,2000
MEX_E,SAU,24919.04,2000
MEX_E,TUR,25046.04,2000
MEX_E,USA,146599589.2,2000
MEX_E,ZAF,16412.994,2000
RUS_E,ARG,36542.107,2000
RUS_E,AUS,5589.941,2000
RUS_E,BRA,258559.741,2000
RUS_E,CAN,88904.774,2000
RUS_E,CHN,5247619.974,2000
RUS_E,DEU,9231828.795,2000
RUS_E,EUN,58676070.36,2000
RUS_E,FRA,1913696.882,2000
RUS_E,GBR,4670041.638,2000
RUS_E,IDN,37200.045,2000
RUS_E,IND,1081683.949,2000
RUS_E,ITA,7254325.411,2000
RUS_E,JPN,2764309.173,2000
RUS_E,KOR,972070.621,2000
RUS_E,MEX,114186.516,2000
RUS_E,SAU,55345.975,2000
RUS_E,TUR,3098321.963,2000
RUS_E,USA,4648015.624,2000
RUS_E,ZAF,33627.525,2000
SAU_E,ARG,2423.47,2000
SAU_E,AUS,101858.794,2000
SAU_E,BRA,62.4,2000
SAU_E,CAN,15548.82,2000
SAU_E,CHN,114082.276,2000
SAU_E,DEU,3880.805,2000
SAU_E,EUN,14650034.15,2000
SAU_E,FRA,8985.878,2000
SAU_E,GBR,47033.392,2000
SAU_E,IDN,77854.764,2000
SAU_E,IND,203207.721,2000
SAU_E,ITA,135738.569,2000
SAU_E,JPN,245086.706,2000
SAU_E,KOR,155200.994,2000
SAU_E,MEX,213.067,2000
SAU_E,RUS,42.4,2000
SAU_E,TUR,57984.605,2000
SAU_E,USA,539421.741,2000
SAU_E,ZAF,47984.327,2000
TUR_E,ARG,23125.817,2000
TUR_E,AUS,121579.354,2000
TUR_E,BRA,41289.565,2000
TUR_E,CAN,171966.158,2000
TUR_E,CHN,91336.496,2000
TUR_E,DEU,5171172.501,2000
TUR_E,EUN,17241407.31,2000
TUR_E,FRA,1651591.721,2000
TUR_E,GBR,2023665.644,2000
TUR_E,IDN,29979.962,2000
TUR_E,IND,56016.694,2000
TUR_E,ITA,1755168.844,2000
TUR_E,JPN,149088.426,2000
TUR_E,KOR,130865.411,2000
TUR_E,MEX,41071.066,2000
TUR_E,RUS,639078.706,2000
TUR_E,SAU,373667.035,2000
TUR_E,USA,3074128.036,2000
TUR_E,ZAF,70564.182,2000
USA_E,ARG,4314340.908,2000
USA_E,AUS,11704105.83,2000
USA_E,BRA,13986018.42,2000
USA_E,CAN,157998574.3,2000
USA_E,CHN,15257858.21,2000
