source,target,year,value
ITA,KOR,2000,-249155.02800000017
ITA,MEX,2000,1416570.193
ITA,RUS,2000,-4938363.140000001
ITA,SAU,2000,1292757.0650000002
ITA,TUR,2000,2419521.0239999997
ITA,USA,2000,14915593.303
ITA,ZAF,2000,63398.71199999994
JPN,KOR,2000,10234365.858000003
JPN,MEX,2000,4095834.0859999997
JPN,RUS,2000,-2194566.27
JPN,SAU,2000,2845757.3609999996
JPN,TUR,2000,1059979.852
JPN,USA,2000,82050192.979
JPN,ZAF,2000,508657.85199999996
KOR,MEX,2000,2097387.484
KOR,RUS,2000,-183943.816
KOR,SAU,2000,1107312.8760000002
KOR,TUR,2000,1075673.9449999998
KOR,USA,2000,11575484.224000003
KOR,ZAF,2000,-99513.305
MEX,RUS,2000,-81220.815
MEX,SAU,2000,24705.973
MEX,TUR,2000,-16025.025999999998
MEX,USA,2000,46578932.676
MEX,ZAF,2000,-124502.769
RUS,SAU,2000,55303.575
RUS,TUR,2000,2459243.257
RUS,USA,2000,2654162.5879999995
RUS,ZAF,2000,3147.7839999999997
SAU,TUR,2000,-315682.43
SAU,USA,2000,-5329711.306
SAU,ZAF,2000,-102929.799
TUR,USA,2000,-586969.415
TUR,ZAF,2000,-35148.914000000004
USA,ZAF,2000,425098.45799999963
ARG,AUS,2001,23184.636999999995
ARG,BRA,2001,1212577.4869999997
ARG,CAN,2001,141000.166
ARG,CHN,2001,548916.413
ARG,DEU,2001,-533155.71
ARG,EUN,2001,595578.824
ARG,FRA,2001,-465166.9
ARG,GBR,2001,-91958.13999999996
ARG,IDN,2001,-29130.92100000001
ARG,IND,2001,356748.54
ARG,ITA,2001,42370.07999999996
ARG,JPN,2001,-136196.39400000003
ARG,KOR,2001,94279.84400000004
ARG,MEX,2001,180103.13899999997
ARG,RUS,2001,140529.603
ARG,SAU,2001,55309.836
ARG,TUR,2001,32350.095
ARG,USA,2001,-691616.9360000002
ARG,ZAF,2001,237383.50999999998
AUS,BRA,2001,-2399.1820000000007
AUS,CAN,2001,313793.855
AUS,CHN,2001,348513.33199999994
AUS,DEU,2001,-2443718.266
AUS,EUN,2001,-5441100.035
AUS,FRA,2001,-604376.872
AUS,GBR,2001,-659572.3900000001
AUS,IDN,2001,-178538.11999999988
AUS,IND,2001,854463.446
AUS,ITA,2001,-621642.024
AUS,JPN,2001,4570658.277000001
AUS,KOR,2001,2751916.883
AUS,MEX,2001,47428.409000000014
AUS,RUS,2001,85832.05
AUS,SAU,2001,1182110.405
AUS,TUR,2001,71980.78499999999
AUS,USA,2001,-4039987.0479999995
